ONGC Mangalore Petrochemicals Limited,
ONGC Videsh Limited,
ONGC Videsh Rovuma Limited India,
Orissa Drugs and Chemicals Limited,
Orissa Integrated Power Limited,
Orissa Mineral Development Company Limited,
PEC Limited,
Patran Transmission Company Limited,
Patratu Vidyut Utpadan Nigam Limited,
Pawan Hans Limited,
Pawan Hans Limited,
Petronet CCK Limited,
PFC Capital Advisory Service Limited,
PFC Consulting Limited,
PFC Green Energy Limited,
Pondicherry Ashok Hotel Corporation Limited,
Power Equity Capital Advisors Private. Limited,
Power Finance Corporation Limited,
Power Finance Corporation Limited,
Power Grid Ajmer Phagi Transmission Limited,
Power Grid Bhind Guna Transmission Limited,
Power Grid Bhuj Transmission Limited,
Power Grid Corporation of India Limited,
Power Grid Fategarh Transmission Limited,
Power Grid Jabalpur Transmission Limited,
Power Grid Khetri Transmission Limited,
Power Grid Medinipur Jeerat Transmission Limited,
Power Grid Meerut Simbhavali Transmission Limited,
Power Grid Mithilanchal Transmission Limited,
Power Grid NM Transmission Limited,
Power Grid Parli Transmission Limited,
Power Grid Ramgarh Transmission Limited,
Power Grid Rampur Sambhal Transmission Limited,
Power Grid Southern Interconnector Transmission System Limited,
Power Grid Varanasi Transmission Limited,
Power Grid Vemagiri Transmission Limited,
Power Grid Warora Transmission Limited,
Power System Operation Corporation Limited,
Powergrid Himachal Transmission Limited,
Powergrid Jawaharpur Firozabad Transmission Limited,
Powergrid Kala Amb Transmission Limited,
Powergrid Nm Tranmission Limited,
Powergrid Unchahar Transmission Limited,
Powergrid Vizag Transmission Limited,
Prize Petroleum Company Limited,
Projects and Development India Limited,
Punjab Ashok Hotel Company Limited,
Punjab Logistic Infrastructure Limited,
Purilia and Kharagpur Transmission Company Limited,
Rail Vikas Nigam Limited,
Railtel Corporation India Limited,
Railtel Enterprises Limited,
Railway Energy Management Company Limited,
Raipur-Rajanand Warona Transmission Limited,
Rajasthan Drugs and Pharmaceuticals Limited,
Rajasthan Electronics And Instruments Limited,
Rajgarh Transmission Limited,
Ranchi Ashok Bihar Hotel Corporation Limited,
Rapp Transmission Company Limited,
Rashtriya Chemicals and Fertilizers Limited,
Rashtriya Ispat Nigam Limited,
Ratnagiri Gas and Power Private Limited,
REC Limited,
REC Power Development and Consultancy Limited,
REC Power Distribution Company Limited,
REC Transmission Projects Company Limited,
REC Transmission Projects Company Limited,
Richardson and Cruddas Limited,
RITES Infrastructure Services Limited,
RITES Limited,
Rural Electrification Corporation Limited,
Sagarmala Development Company Limited,
SAIL Jagadishpur Power Plant Limited,
SAIL Refractory Company Limited,
SAIL Refractory Company Limited,
SAIL Sindri Projects Limited,
Sakhigopal Integrated Power Company Limited,
Sambhar Salts Limited,
Scooters India Limited,
Security Printing and Minting Corporation India Limited,
Sethusamudram Corporation Limited,
Shipping Corporation of India Limited,
Shongtong Karcham Wangtoo Transmission Limited,
Sidcul Concor Infra Company Limited,
Sikar New Transmission Limited,
Sikar-II Aligarh Transmission Limited,
Sipat Transmission Limited,
SJVN Limited,
SJVN Thermal Private. Limited,
Solar Energy Corporation of India,
South-Central East Delhi Power Transmission Limited,
South Eastern Coalfields Limited,
South-Central East Delhi Power Transmission Limited,
State Farms Corporation of India Limited,
State Trading Corporation of India Limited,
STCL Limited,
Steel Authority of India Limited,
Tamil Nadu Trade Promotion Organisation,
Tanda Transmission Company Limited,
Tatiya Andhra Mega Power Limited,
TCIL Bina Toll Road Limited,
TCIL Lakhnadone Toll Road Limited,
Tebma Shipyards Limited,
Telecommunications Consultants India Limited,
THDC India Limited,
THDC India Limited,
The Bisra Stone Lime Company Limited,
The Cotton Corporation of India Limited,
The Fertilizer Corporation of India Limited,
The Jute Corporation of India Limited,
Triveni Structurals Limited,
Tungabhadra Steel Products Limited,
TUSCO Limited,
Tyre Corporation of India Limited,
Udupi Kasargode Transmission Limited,
Unchahar Transmission Limited,
Uranium Corporation of India Limited,
Utkal Ashok Hotel Corporation Limited,
Vapi-ii North Lakhimpur Transmission Limited,
Vignyan Industries Limited,
Visakhapatanam Port Logistics Park Limited,
Vizag Transmission Limited,
WAPCOS Limited,
Western Coalfields Limited,
WR-NR Power Transmission Limited,
WRSS XXIa Transco Limited,
Yule Electrical Limited,
Yule Engineering Company Limited,
